Release_Year,Genres,Media,Total_Releases
1977,Mystery,Movie,58
1977,Mystery,TV Series,12
1977,News,TV Series,12
1977,Reality-TV,TV Series,3
1977,Romance,Movie,214
1977,Romance,TV Series,31
1977,Sci-Fi,Movie,47
1977,Sci-Fi,TV Series,16
1977,Sci-Fi,Video Game,7
1977,Short,TV Series,3
1977,Sport,Movie,24
1977,Sport,TV Series,11
1977,Sport,Video Game,118
1977,Talk-Show,TV Series,23
1977,Thriller,Movie,136
1977,Thriller,TV Series,3
1977,War,Movie,55
1977,War,TV Series,5
1977,War,Video Game,1
1977,Western,Movie,20
1977,Western,TV Series,1
1977,Western,Video Game,2
1978,,Movie,842
1978,,TV Series,98
1978,,Video Game,17
1978,Action,Movie,363
1978,Action,TV Series,19
1978,Action,Video Game,35
1978,Adult,Movie,275
1978,Adventure,Movie,160
1978,Adventure,TV Series,36
1978,Adventure,Video Game,4
1978,Animation,Movie,32
1978,Animation,TV Series,47
1978,Biography,Movie,28
1978,Biography,TV Series,5
1978,Comedy,Movie,541
1978,Comedy,TV Series,148
1978,Crime,Movie,204
1978,Crime,TV Series,25
1978,Documentary,Movie,308
1978,Documentary,TV Series,47
1978,Drama,Movie,1236
1978,Drama,TV Series,136
1978,Family,Movie,114
1978,Family,TV Series,98
1978,Family,Video Game,36
1978,Fantasy,Movie,73
1978,Fantasy,TV Series,7
1978,Fantasy,Video Game,2
1978,Game-Show,TV Series,28
1978,History,Movie,45
1978,History,TV Series,15
1978,Horror,Movie,92
1978,Horror,TV Series,3
1978,Music,Movie,34
1978,Music,TV Series,48
1978,Musical,Movie,67
1978,Musical,TV Series,13
1978,Mystery,Movie,68
1978,Mystery,TV Series,9
1978,News,TV Series,20
1978,Reality-TV,Movie,1
1978,Reality-TV,TV Series,2
1978,Romance,Movie,224
1978,Romance,TV Series,27
1978,Sci-Fi,Movie,45
1978,Sci-Fi,TV Series,17
1978,Sci-Fi,Video Game,16
1978,Short,TV Series,4
1978,Sport,Movie,23
1978,Sport,TV Series,14
